protagoniste1	protagoniste2	description_interaction	description_medoc	mecanisme	CI	AD	PE	PC
ABATACEPT	ANTI-TNF ALPHA	Association DECONSEILLEE Majoration de l'immunodepression.		Majoration de l'immunodepression.				
ABATACEPT	VACCINS VIVANTS ATTENUES	Association DECONSEILLEE ainsi que pendant les 3 mois suivant l'arret du traitement. 		Risque de maladie vaccinale generalisee, eventuellement mortelle.		 ainsi que pendant les 3 mois suivant l'arret du traitement. 		
ABIRATERONE	ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES	Association DECONSEILLEE Diminution notable des concentrations plasmatiques de l'abiraterone, avec risque de moindre efficacite.		Diminution notable des concentrations plasmatiques de l'abiraterone, avec risque de moindre efficacite.				
ABIRATERONE	FLECAINIDE	Precaution d'emploi Surveillance clinique. Si besoin, adaptation de la posologie du flecainide pendant le traitement par l'abiraterone. 		Risque d'augmentation des effets indesirables du flecainide, par diminution de son metabolisme hepatique par l'abiraterone.			 Surveillance clinique. Si besoin, adaptation de la posologie du flecainide pendant le traitement par l'abiraterone. 	
ABIRATERONE	METOPROLOL	Precaution d'emploi Surveillance clinique. Si besoin, adaptation de la posologie du metoprolol pendant le traitement par l'abiraterone. 		Chez l'insuffisant cardiaque, risque d'augmentation des effets indesirables du metoprolol, par diminution de son metabolisme hepatique par l'abiraterone.			 Surveillance clinique. Si besoin, adaptation de la posologie du metoprolol pendant le traitement par l'abiraterone. 	
ABIRATERONE	PROPAFENONE	Precaution d'emploi Surveillance clinique. Si besoin, adaptation de la posologie de la propafenone pendant le traitement par l'abiraterone. 		Risque d'augmentation des effets indesirables de la propafenone, par diminution de son metabolisme hepatique par l'abiraterone.			 Surveillance clinique. Si besoin, adaptation de la posologie de la propafenone pendant le traitement par l'abiraterone. 	
ABIRATERONE	RIFAMPICINE	Association DECONSEILLEE Diminution notable des concentrations plasmatiques de 		Diminution notable des concentrations plasmatiques de l'abiraterone, avec risque de moindre efficacite.				
ACETAZOLAMIDE	ACIDE ACETYLSALICYLIQUE	Association DECONSEILLEE Majoration des effets indesirables, et notamment de l'acidose 	Voir aussi : alcalinisants urinaires	Majoration des effets indesirables, et notamment de l'acidose metabolique, de l'acide acetylsalicylique a doses elevees et de l'acetazolamide, par diminution de l'elimination de l'acide acetylsalicylique par l'acetazolamide.				
ACETAZOLAMIDE	CARBAMAZEPINE	Precaution d'emploi Surveillance clinique et, si besoin, controle des concentrations plasmatiques de carbamazepine et reduction eventuelle de sa posologie. 	Voir aussi : alcalinisants urinaires	Augmentation des concentrations plasmatiques de carbamazepine avec signes de surdosage.			 Surveillance clinique et, si besoin, controle des concentrations plasmatiques de carbamazepine et reduction eventuelle de sa posologie. 	
ACETAZOLAMIDE	LITHIUM	Precaution d'emploi Surveillance stricte de la lithemie et adaptation eventuelle de la posologie du lithium. 	Voir aussi : alcalinisants urinaires	Diminution de la lithemie avec risque de baisse de l'efficacite therapeutique.			 Surveillance stricte de la lithemie et adaptation eventuelle de la posologie du lithium. 	
ACETAZOLAMIDE	VALPROIQUE (ACIDE) ET, PAR EXTRAPOLATION, VALPROMIDE	Precaution d'emploi Surveillance clinique et biologique reguliere. 	Voir aussi : alcalinisants urinaires	Augmentation de l'hyperammoniemie, avec risque accru d'encephalopathie.			 Surveillance clinique et biologique reguliere. 	
ACIDE ACETOHYDROXAMIQUE	FER	A prendre en compte Diminution de l'absorption digestive de ces deux medicaments par chelation du fer. 		Diminution de l'absorption digestive de ces deux medicaments par chelation du fer. Thesaurus des interactions medicamenteuses				
ACIDE ACETYLSALICYLIQUE	ANAGRELIDE	Association DECONSEILLEE 	Voir aussi : antiagregants plaquettaires - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Majoration des evenements hemorragiques.		 		
ACIDE ACETYLSALICYLIQUE	ANTAGONISTES DES RECEPTEURS DE L'ANGIOTENSINE II	Precaution d'emploi Hydrater le malade et surveiller la fonction renale en debut de traitement. 	Voir aussi : antiagregants plaquettaires - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Pour des doses anti-inflammatoires d'acide acetylsalicylique (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou antipyretiques (>= 500 mg par prise et/ou < 3g par jour) : Insuffisance renale aigue chez le malade deshydrate, par diminution de la filtration glomerulaire secondaire a une diminution de la synthese des prostaglandines renales. Par ailleurs, reduction de l'effet antihypertenseur.			 Hydrater le malade et surveiller la fonction renale en debut de traitement. 	
ACIDE ACETYLSALICYLIQUE	ANTICOAGULANTS ORAUX	CI - ASDEC - APEC Contre-indication avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) et en cas d'antecedent d'ulcere gastro-duodenal Association deconseillee avec : - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) en l'absence d'antecedent d'ulcere gastro-duodenal - des doses antiagregantes (de 50 mg a 375 mg par jour) et en cas d'antecedent d'ulcere gastro-duodenal. Necessite d'un controle le cas echeant, en particulier du temps de saignement. 	Voir aussi : antiagregants plaquettaires - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	 avec : - des doses antiagregantes (de 50 mg a 375 mg par jour) Majoration du risque hemorragique, notamment en cas d'antecedent d'ulcere gastro-duodenal.	CI - ASDEC - APEC Contre-indication avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) et en cas d'antecedent d'ulcere gastro-duodenal Association deconseillee avec : - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) en l'absence d'antecedent d'ulcere gastro-duodenal - des doses antiagregantes (de 50 mg a 375 mg par jour) et en cas d'antecedent d'ulcere gastro-duodenal. Necessite d'un controle le cas echeant, en particulier du temps de saignement. 	CI - ASDEC - APEC Contre-indication avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) et en cas d'antecedent d'ulcere gastro-duodenal Association deconseillee avec : - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) en l'absence d'antecedent d'ulcere gastro-duodenal - des doses antiagregantes (de 50 mg a 375 mg par jour) et en cas d'antecedent d'ulcere gastro-duodenal. Necessite d'un controle le cas echeant, en particulier du temps de saignement. 		CI - ASDEC - APEC Contre-indication avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) et en cas d'antecedent d'ulcere gastro-duodenal Association deconseillee avec : - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) en l'absence d'antecedent d'ulcere gastro-duodenal - des doses antiagregantes (de 50 mg a 375 mg par jour) et en cas d'antecedent d'ulcere gastro-duodenal. Necessite d'un controle le cas echeant, en particulier du temps de saignement. 
ACIDE ACETYLSALICYLIQUE	ANTI-INFLAMMATOIRES NON STEROIDIENS	ASDEC - APEC Association deconseillee avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) A prendre en compte avec : - des doses antiagregantes (de 50 mg a 375 mg par jour en 1 ou plusieurs prises) 	Voir aussi : antiagregants plaquettaires - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Majoration du risque ulcerogene et hemorragique digestif.		ASDEC - APEC Association deconseillee avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) avec : - des doses antiagregantes (de 50 mg a 375 mg par jour en 1 ou plusieurs prises) 		ASDEC - APEC Association deconseillee avec : - des doses anti-inflammatoires d'acide acetylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyretiques (>=500 mg par prise et/ou <3g par jour) avec : - des doses antiagregantes (de 50 mg a 375 mg par jour en 1 ou plusieurs prises) 
