"protagoniste1";"protagoniste2";"page";"CI";"AD";"PE";"PC";"couple"
"ABATACEPT";"ANTI-TNF ALPHA";1;;"Association DECONSEILLEE Majoration de l'immunodepression.";;;"ABATACEPT;ANTI-TNF ALPHA"
"ABATACEPT";"VACCINS VIVANTS ATTENUES";1;;"Association DECONSEILLEE ainsi que pendant les 3 mois suivant l'arret du traitement. Risque de maladie vaccinale generalisee, eventuellement mortelle.";;;"ABATACEPT;VACCINS VIVANTS ATTENUES"
"ABIRATERONE";"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";1;;"Association DECONSEILLEE Diminution notable des concentrations plasmatiques de l'abiraterone, avec risque de moindre efficacite.";;;"ABIRATERONE;ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES"
"ABIRATERONE";"FLECAINIDE";1;;;"Precaution d'emploi Surveillance clinique. Si besoin, adaptation de la posologie du flecainide pendant le traitement par l'abiraterone. Risque d'augmentation des effets indesirables du flecainide, par diminution de son metabolisme hepatique par l'abiraterone.";;"ABIRATERONE;FLECAINIDE"
"ABIRATERONE";"METOPROLOL";1;;;"Precaution d'emploi Surveillance clinique. Si besoin, adaptation de la posologie du metoprolol pendant le traitement par l'abiraterone. Chez l'insuffisant cardiaque, risque d'augmentation des effets indesirables du metoprolol, par diminution de son metabolisme hepatique par l'abiraterone.";;"ABIRATERONE;METOPROLOL"
"ABIRATERONE";"PROPAFENONE";1;;;"Precaution d'emploi Surveillance clinique. Si besoin, adaptation de la posologie de la propafenone pendant le traitement par l'abiraterone. Risque d'augmentation des effets indesirables de la propafenone, par diminution de son metabolisme hepatique par l'abiraterone.";;"ABIRATERONE;PROPAFENONE"
"ABIRATERONE";"RIFAMPICINE";1;;"Association DECONSEILLEE Diminution notable des concentrations plasmatiques de l'abiraterone, avec risque de moindre efficacite.";;;"ABIRATERONE;RIFAMPICINE"
"ACETAZOLAMIDE";"ACIDE ACETYLSALICYLIQUE";1;;"Association DECONSEILLEE Majoration des effets indesirables, et notamment de l'acidose metabolique, de l'acide acetylsalicylique a doses elevees et de l'acetazolamide, par diminution de l'elimination de l'acide acetylsalicylique par l'acetazolamide.";;;"ACETAZOLAMIDE;ACIDE ACETYLSALICYLIQUE"
"ACETAZOLAMIDE";"CARBAMAZEPINE";1;;;"Precaution d'emploi Surveillance clinique et, si besoin, controle des concentrations plasmatiques de carbamazepine et reduction eventuelle de sa posologie. Augmentation des concentrations plasmatiques de carbamazepine avec signes de surdosage.";;"ACETAZOLAMIDE;CARBAMAZEPINE"
"ACETAZOLAMIDE";"LITHIUM";1;;;"Precaution d'emploi Surveillance stricte de la lithemie et adaptation eventuelle de la posologie du lithium. Diminution de la lithemie avec risque de baisse de l'efficacite therapeutique.";;"ACETAZOLAMIDE;LITHIUM"
"ACETAZOLAMIDE";"VALPROIQUE (ACIDE) ET, PAR EXTRAPOLATION, VALPROMIDE";1;;;"Precaution d'emploi Surveillance clinique et biologique reguliere. Augmentation de l'hyperammoniemie, avec risque accru d'encephalopathie.";;"ACETAZOLAMIDE;VALPROIQUE (ACIDE) ET, PAR EXTRAPOLATION, VALPROMIDE"
"ACIDE ACETOHYDROXAMIQUE";"FER";2;;;;"A prendre en compte Diminution de l'absorption digestive de ces deux medicaments par chelation du fer.  /226";"ACIDE ACETOHYDROXAMIQUE;FER"
"ACIDE ACETYLSALICYLIQUE";"ANAGRELIDE";2;;"Association DECONSEILLEE Majoration des evenements hemorragiques.";;;"ACIDE ACETYLSALICYLIQUE;ANAGRELIDE"
