"molecule"	"famille"
"abatacept"	"abatacept"
"abiraterone"	"abiraterone"
"acide acetohydroxamique"	"acide acetohydroxamique"
"acide ascorbique"	"acide ascorbique"
"acide cholique"	"acide cholique"
"acide fusidique"	"acide fusidique"
"acide nicotinique"	"acide nicotinique"
"afatinib"	"afatinib"
"albendazole"	"albendazole"
"aldesleukine"	"aldesleukine"
"alpha-tocopherol"	"alpha-tocopherol"
"ambrisentan"	"ambrisentan"
"aminoglutethimide"	"aminoglutethimide"
"anagrelide"	"anagrelide"
"anakinra"	"anakinra"
"aprepitant"	"aprepitant"
"ataluren"	"ataluren"
"atovaquone"	"atovaquone"
"aztreonam"	"aztreonam"
"bédaquiline"	"bédaquiline"
"bosentan"	"bosentan"
"botulique (toxine)"	"botulique (toxine)"
"buspirone"	"buspirone"
"cafeine"	"cafeine"
"calcitonine"	"calcitonine"
"calcium"	"calcium"
"cefalotine"	"cefalotine"
"cefoperazone"	"cefoperazone"
"cefotetan"	"cefotetan"
"ceftriaxone"	"ceftriaxone"
"ciclopirox"	"ciclopirox"
"cinacalcet"	"cinacalcet"
"colchicine"	"colchicine"
"cyanocobalamine"	"cyanocobalamine"
"daclatasvir"	"daclatasvir"
"dalfopristine"	"dalfopristine"
"danazol"	"danazol"
"dantrolene"	"dantrolene"
"daptomycine"	"daptomycine"
"dasabuvir"	"dasabuvir"
"deferasirox"	"deferasirox"
"défériprone"	"défériprone"
"déféroxamine"	"déféroxamine"
"défibrotide"	"défibrotide"
"délamanid"	"délamanid"
"didanosine"	"didanosine"
"diprophylline"	"diprophylline"
"dipyridamole"	"dipyridamole"
"dolutégravir"	"dolutégravir"
"ebastine"	"ebastine"
"econazole"	"econazole"
"eltrombopag"	"eltrombopag"
"elvitégravir"	"elvitégravir"
"etravirine"	"etravirine"
"exemestane"	"exemestane"
"ezetimibe"	"ezetimibe"
"fer"	"fer"
"fidaxomicine"	"fidaxomicine"
"flucytosine"	"flucytosine"
"glycerol"	"glycerol"
"guanethidine"	"guanethidine"
"idélalisib"	"idélalisib"
"insuline"	"insuline"
"interferon alfa"	"interferon alfa"
"isoniazide"	"isoniazide"
"isoprenaline"	"isoprenaline"
"ivacaftor"	"ivacaftor"
"lamivudine"	"lamivudine"
"lédipasvir"	"lédipasvir"
"lenalidomide"	"lenalidomide"
"lithium"	"lithium"
"lomitapide"	"lomitapide"
"macitentan"	"macitentan"
"mannitol"	"mannitol"
"maraviroc"	"maraviroc"
"metformine"	"metformine"
"methenamine"	"methenamine"
"metyrapone"	"metyrapone"
"miconazole"	"miconazole"
"mitotane"	"mitotane"
"modafinil"	"modafinil"
"montelukast"	"montelukast"
"mycophenolate mofetil"	"mycophenolate mofetil"
"mycophenolate sodique"	"mycophenolate sodique"
"ondansetron"	"ondansetron"
"ondansétron"	"ondansétron"
"or"	"or"
"orlistat"	"orlistat"
"paracetamol"	"paracetamol"
"peg-interferon alfa-2a"	"peg-interferon alfa-2a"
"pemetrexed"	"pemetrexed"
"penicillamine"	"penicillamine"
"pentoxifylline"	"pentoxifylline"
"pirfenidone"	"pirfenidone"
"polymyxine b"	"polymyxine b"
"povidone iodée"	"povidone iodée"
"praziquantel"	"praziquantel"
"pristinamycine"	"pristinamycine"
"proguanil"	"proguanil"
"pyrazinamide"	"pyrazinamide"
"pyrimethamine"	"pyrimethamine"
"quinupristine"	"quinupristine"
"racécadodril"	"racécadodril"
"raltégravir"	"raltégravir"
"ranolazine"	"ranolazine"
"régorafénib"	"régorafénib"
"reserpine"	"reserpine"
"ribavirine"	"ribavirine"
"rilpivirine"	"rilpivirine"
"rufinamide"	"rufinamide"
"salmeterol"	"salmeterol"
"siméprévir"	"siméprévir"
"sodium (aurothiopropanolsulfonate de)"	"sodium (aurothiopropanolsulfonate de)"
"sodium (chlorure de)"	"sodium (chlorure de)"
"sodium (oxybate de)"	"sodium (oxybate de)"
"sofosbuvir"	"sofosbuvir"
"sorbitol"	"sorbitol"
"stavudine"	"stavudine"
"stiripentol"	"stiripentol"
"strontium"	"strontium"
"sucralfate"	"sucralfate"
"sulfinpyrazone"	"sulfinpyrazone"
"sulprostone"	"sulprostone"
"tamoxifene"	"tamoxifene"
"telbivudine"	"telbivudine"
"terbinafine"	"terbinafine"
"tériflunomide"	"tériflunomide"
"tiabendazole"	"tiabendazole"
"tianeptine"	"tianeptine"
"tibolone"	"tibolone"
"trabectédine"	"trabectédine"
"triclabendazole"	"triclabendazole"
"ulipristal"	"ulipristal"
"vémurafénib"	"vémurafénib"
"vidarabine"	"vidarabine"
"vismodégib"	"vismodégib"
"vitamine a"	"vitamine a"
"yohimbine"	"yohimbine"
"zalcitabine"	"zalcitabine"
"zidovudine"	"zidovudine"
"zinc"	"zinc"
