"entree";"interaction";"page";"CI";"AD";"PE";"PC"
"ABATACEPT";"ANTI-TNF ALPHA";1;;"Association DECONSEILLEE Majoration de l'immunodepression.";;
"ABATACEPT";"VACCINS VIVANTS ATTENUES";1;;"Association DECONSEILLEE ainsi que pendant les 3 mois suivant l'arret du traitement. Risque de maladie vaccinale generalisee, eventuellement mortelle.";;
"ABIRATERONE";"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";1;;"Association DECONSEILLEE Diminution notable des concentrations plasmatiques de l'abiraterone, avec risque de moindre efficacite.";;
"ABIRATERONE";"FLECAINIDE";1;;;"Precaution d'emploi Surveillance clinique. Si besoin, adaptation de la posologie du flecainide pendant le traitement par l'abiraterone. Risque d'augmentation des effets indesirables du flecainide, par diminution de son metabolisme hepatique par l'abiraterone.";
"ABIRATERONE";"METOPROLOL";1;;;"Precaution d'emploi Surveillance clinique. Si besoin, adaptation de la posologie du metoprolol pendant le traitement par l'abiraterone. Chez l'insuffisant cardiaque, risque d'augmentation des effets indesirables du metoprolol, par diminution de son metabolisme hepatique par l'abiraterone.";
"ABIRATERONE";"PROPAFENONE";1;;;"Precaution d'emploi Surveillance clinique. Si besoin, adaptation de la posologie de la propafenone pendant le traitement par l'abiraterone. Risque d'augmentation des effets indesirables de la propafenone, par diminution de son metabolisme hepatique par l'abiraterone.";
"ABIRATERONE";"RIFAMPICINE";1;;"Association DECONSEILLEE Diminution notable des concentrations plasmatiques de l'abiraterone, avec risque de moindre efficacite.";;
"ACETAZOLAMIDE";"CARBAMAZEPINE";1;;;"Precaution d'emploi Surveillance clinique et, si besoin, controle des concentrations plasmatiques de carbamazepine et reduction eventuelle de sa posologie. Augmentation des concentrations plasmatiques de carbamazepine avec signes de surdosage.";
"ACETAZOLAMIDE";"LITHIUM";1;;;"Precaution d'emploi Surveillance stricte de la lithemie et adaptation eventuelle de la posologie du lithium. Diminution de la lithemie avec risque de baisse de l'efficacite therapeutique.";
"ACIDE ACETOHYDROXAMIQUE";"FER";1;;;;"A prendre en compte Diminution de l'absorption digestive de ces deux medicaments par chelation du fer."
"ACIDE ACETYLSALICYLIQUE";"ANAGRELIDE";1;;"Association DECONSEILLEE Majoration des evenements hemorragiques.";;
"ACIDE ACETYLSALICYLIQUE";"ANTAGONISTES DES RECEPTEURS DE L'ANGIOTENSINE II";2;;;"Precaution d'emploi Hydrater le malade et surveiller la fonction renale en debut de traitement. Pour des doses anti-inflammatoires d'acide acetylsalicylique (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou antipyretiques (>= 500 mg par prise et/ou < 3g par jour) : Insuffisance renale aigue chez le malade deshydrate, par diminution de la filtration glomerulaire secondaire a une diminution de la synthese des prostaglandines renales. Par ailleurs, reduction de l'effet antihypertenseur.";
